parameter,present_in_file,method,anomalies_count,evaluated_points,percent_of_total_rows,percent_of_evaluated_points,total_rows
вес_на_крюке,1,z_score,9,240,3.75,3.75,240
вес_на_крюке,1,lof,0,240,0.0,0.0,240
вес_на_крюке,1,fft,0,240,0.0,0.0,240
вес_на_крюке,1,ammad,0,240,0.0,0.0,240
глубина,1,z_score,0,240,0.0,0.0,240
глубина,1,lof,0,240,0.0,0.0,240
глубина,1,fft,0,240,0.0,0.0,240
глубина,1,ammad,0,240,0.0,0.0,240
давление_на_входе,1,z_score,0,240,0.0,0.0,240
давление_на_входе,1,lof,0,240,0.0,0.0,240
давление_на_входе,1,fft,18,240,7.5,7.5,240
давление_на_входе,1,ammad,0,240,0.0,0.0,240
дмк,1,z_score,3,240,1.25,1.25,240
дмк,1,lof,3,240,1.25,1.25,240
дмк,1,fft,0,240,0.0,0.0,240
дмк,1,ammad,4,240,1.6667,1.6667,240
момент_ротора,1,z_score,0,240,0.0,0.0,240
момент_ротора,1,lof,0,240,0.0,0.0,240
момент_ротора,1,fft,0,240,0.0,0.0,240
момент_ротора,1,ammad,18,240,7.5,7.5,240
нагрузка,1,z_score,8,240,3.3333,3.3333,240
нагрузка,1,lof,0,240,0.0,0.0,240
нагрузка,1,fft,0,240,0.0,0.0,240
нагрузка,1,ammad,0,240,0.0,0.0,240
обороты_ротора,1,z_score,5,240,2.0833,2.0833,240
обороты_ротора,1,lof,0,240,0.0,0.0,240
обороты_ротора,1,fft,0,240,0.0,0.0,240
обороты_ротора,1,ammad,0,240,0.0,0.0,240
расход_на_входе,1,z_score,2,240,0.8333,0.8333,240
расход_на_входе,1,lof,0,240,0.0,0.0,240
расход_на_входе,1,fft,0,240,0.0,0.0,240
расход_на_входе,1,ammad,0,240,0.0,0.0,240
скорость_бурения,1,z_score,6,240,2.5,2.5,240
скорость_бурения,1,lof,0,240,0.0,0.0,240
скорость_бурения,1,fft,0,240,0.0,0.0,240
скорость_бурения,1,ammad,16,240,6.6667,6.6667,240
скорость_спо,1,z_score,0,240,0.0,0.0,240
скорость_спо,1,lof,0,240,0.0,0.0,240
скорость_спо,1,fft,0,240,0.0,0.0,240
скорость_спо,1,ammad,0,240,0.0,0.0,240
температура_на_выходе,1,z_score,0,240,0.0,0.0,240
температура_на_выходе,1,lof,0,240,0.0,0.0,240
температура_на_выходе,1,fft,0,240,0.0,0.0,240
температура_на_выходе,1,ammad,0,240,0.0,0.0,240
уровень_в_емкости,1,z_score,0,240,0.0,0.0,240
уровень_в_емкости,1,lof,0,240,0.0,0.0,240
уровень_в_емкости,1,fft,0,240,0.0,0.0,240
уровень_в_емкости,1,ammad,0,240,0.0,0.0,240
