parameter,present_in_file,method,anomalies_count,evaluated_points,percent_of_total_rows,percent_of_evaluated_points,total_rows
вес_на_крюке,1,z_score,1362,54617,2.4937,2.4937,54617
вес_на_крюке,1,lof,52,54617,0.0952,0.0952,54617
вес_на_крюке,1,fft,1051,54617,1.9243,1.9243,54617
вес_на_крюке,1,ammad,3,54617,0.0055,0.0055,54617
глубина,1,z_score,402,54617,0.736,0.736,54617
глубина,1,lof,0,54617,0.0,0.0,54617
глубина,1,fft,0,54617,0.0,0.0,54617
глубина,1,ammad,0,54617,0.0,0.0,54617
давление_на_входе,1,z_score,1716,54617,3.1419,3.1419,54617
давление_на_входе,1,lof,117,54617,0.2142,0.2142,54617
давление_на_входе,1,fft,2855,54617,5.2273,5.2273,54617
давление_на_входе,1,ammad,23,54617,0.0421,0.0421,54617
дмк,1,z_score,1048,54617,1.9188,1.9188,54617
дмк,1,lof,153,54617,0.2801,0.2801,54617
дмк,1,fft,0,54617,0.0,0.0,54617
дмк,1,ammad,1193,54617,2.1843,2.1843,54617
момент_ротора,1,z_score,0,54617,0.0,0.0,54617
момент_ротора,1,lof,0,54617,0.0,0.0,54617
момент_ротора,1,fft,0,54617,0.0,0.0,54617
момент_ротора,1,ammad,1002,54617,1.8346,1.8346,54617
нагрузка,1,z_score,1031,54617,1.8877,1.8877,54617
нагрузка,1,lof,0,54617,0.0,0.0,54617
нагрузка,1,fft,749,54617,1.3714,1.3714,54617
нагрузка,1,ammad,1840,54617,3.3689,3.3689,54617
обороты_ротора,1,z_score,0,54617,0.0,0.0,54617
обороты_ротора,1,lof,0,54617,0.0,0.0,54617
обороты_ротора,1,fft,0,54617,0.0,0.0,54617
обороты_ротора,1,ammad,1002,54617,1.8346,1.8346,54617
расход_на_входе,1,z_score,619,54617,1.1333,1.1333,54617
расход_на_входе,1,lof,425,54617,0.7781,0.7781,54617
расход_на_входе,1,fft,9277,54617,16.9856,16.9856,54617
расход_на_входе,1,ammad,19,54617,0.0348,0.0348,54617
скорость_бурения,1,z_score,1141,54617,2.0891,2.0891,54617
скорость_бурения,1,lof,24,54617,0.0439,0.0439,54617
скорость_бурения,1,fft,0,54617,0.0,0.0,54617
скорость_бурения,1,ammad,34,54617,0.0623,0.0623,54617
скорость_спо,1,z_score,234,54617,0.4284,0.4284,54617
скорость_спо,1,lof,17,54617,0.0311,0.0311,54617
скорость_спо,1,fft,53,54617,0.097,0.097,54617
скорость_спо,1,ammad,0,54617,0.0,0.0,54617
температура_на_выходе,1,z_score,1292,54617,2.3656,2.3656,54617
температура_на_выходе,1,lof,8,54617,0.0146,0.0146,54617
температура_на_выходе,1,fft,682,54617,1.2487,1.2487,54617
температура_на_выходе,1,ammad,3,54617,0.0055,0.0055,54617
уровень_в_емкости,1,z_score,302,54617,0.5529,0.5529,54617
уровень_в_емкости,1,lof,56,54617,0.1025,0.1025,54617
уровень_в_емкости,1,fft,491,54617,0.899,0.899,54617
уровень_в_емкости,1,ammad,475,54617,0.8697,0.8697,54617
