file,scenario,cluster_number,well_name,rig_name,method,parameter,total,first_50,first_index
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,скорость_бурения,9,3,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,вес_на_крюке,11,3,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,момент_ротора,2,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,обороты_ротора,6,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,давление_на_входе,2,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,расход_на_входе,4,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,температура_на_выходе,2,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,уровень_в_емкости,2,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,скорость_спо,2,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,нагрузка,8,2,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,z_score,дмк,6,3,47
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,lof,скорость_бурения,2,0,68
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,lof,дмк,3,0,130
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,fft,давление_на_входе,18,0,125
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,скорость_бурения,18,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,вес_на_крюке,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,момент_ротора,21,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,обороты_ротора,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,давление_на_входе,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,расход_на_входе,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,температура_на_выходе,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,уровень_в_емкости,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,скорость_спо,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,нагрузка,5,5,0
01_physical_limits_first50.txt,Физические пределы,9101,AMMAD-01-PHYS,WR-AMMAD-01-PHYS,ammad,дмк,9,5,0
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,z_score,скорость_бурения,6,0,124
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,z_score,вес_на_крюке,9,0,69
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,z_score,обороты_ротора,5,0,72
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,z_score,расход_на_входе,2,0,114
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,z_score,нагрузка,8,0,69
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,z_score,дмк,3,0,130
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,lof,дмк,3,0,130
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,fft,давление_на_входе,18,0,125
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,ammad,скорость_бурения,16,3,17
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,ammad,момент_ротора,18,2,16
02_statistical_spikes_first50.txt,Статистические и рабочие выбросы,9102,AMMAD-02-SPIKES,WR-AMMAD-02-SPIKES,ammad,дмк,4,0,72
03_context_stuck_sensors_first50.txt,Контекстное залипание каналов при росте глубины,9103,AMMAD-03-STUCK,WR-AMMAD-03-STUCK,z_score,скорость_бурения,9,0,51
03_context_stuck_sensors_first50.txt,Контекстное залипание каналов при росте глубины,9103,AMMAD-03-STUCK,WR-AMMAD-03-STUCK,z_score,вес_на_крюке,11,0,51
