parameter,context_soft_window,context_hard_window,critical_fence_window,max_step_threshold,flags
вес_на_крюке,[0.443249; 76.4798],[0; 87.3386],[-98.2854; 157.177],11.792016315460073,длинные нулевые плато; длинные плато (залипание датчика)
глубина,[796.49; 3489.71],[796.49; 3503.76],[2932.56; 3325.9],0.028564453125227374,длинные плато (залипание датчика); выраженные хвостовые выбросы
давление_на_входе,[-0.0493524; 262.572],[-0.0783832; 314.653],[-751.59; 1002.12],9.736983795166015,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); есть отрицательные значения
дмк,[0; 128.064],[0; 211.26],[-166.655; 222.207],0.0,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика)
момент_ротора,[-0.58337; 3.1808],[-1.05335; 7.99496],[-6.75095; 9.00127],0.6000810861587502,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); есть отрицательные значения
нагрузка,[0; 13.0503],[0; 16.4433],[-18.2815; 24.3753],3.3418483734131,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); есть отрицательные значения
обороты_ротора,[0; 32.8172],[-0.44877; 40.3804],[-90; 120],1.400522607453097,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); есть отрицательные значения
расход_на_входе,[-0.229566; 15.1836],[-0.317604; 15.4053],[-43.6743; 58.2325],0.9593334197997798,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); есть отрицательные значения
скорость_бурения,[0; 2.22451],[0; 6.49649],[-1.87305; 2.4974],1.290464401245117,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); выраженные хвостовые выбросы
скорость_спо,[0; 0],[0; 0.536264],[0; 0],0.1472596815228461,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); выраженные хвостовые выбросы
температура_на_выходе,[0; 44.6238],[-7.46276; 44.9918],[-85.2583; 139.344],0.4149415588378784,много нулевых значений; длинные нулевые плато; длинные плато (залипание датчика); есть отрицательные значения
уровень_в_емкости,[0.889923; 1.58486],[0.750504; 1.70441],[0.723662; 1.81119],0.01122605562210052,длинные плато (залипание датчика); выраженные хвостовые выбросы
