Параметр,Всего записей,Нулевых (%),Среднее,Медиана,Стд. отклонение,Минимум,Максимум,Сегменты,Длина сегм. (сред)
скорость_спо,26405,90.70630562393485,0.02664902032236767,0.0,0.1441990756413769,0.0,1.74939060211182,315,7.79047619047619
скорость_бурения,26405,72.61503503124408,0.8567379940670111,0.0,1.723206074006151,0.0,24.9338703155518,520,13.90576923076923
дмк,26405,67.0441204317364,10.773994870412487,0.0,18.191034188945004,0.0,79.7806854248047,81,107.4320987654321
нагрузка,26405,55.682635864419616,1.8918247678767537,0.0,2.3778524343817353,-3.98671102523804,9.96914577484131,122,95.91803278688525
обороты_ротора,26405,53.569399734898695,15.844780355552114,0.0,18.584316731724883,0.0,45.89990234375,189,64.86772486772487
момент_ротора,26405,53.41033895095626,3.3010680823885625,0.0,3.7009086002474825,0.0,18.9281311035156,246,50.00813008130081
расход_на_входе,26405,28.93391403143344,9.330059762057616,14.6022577285767,7.472489449284027,-11.5051898956299,16.0702209472656,28,670.1785714285714
давление_на_входе,26405,12.38023101685287,195.6119924729187,298.227935791016,143.5780906388344,-39.9653968811035,335.848571777344,13,1779.6923076923076
вес_на_крюке,26405,0.0,65.22730278754817,76.5940856933594,25.225274118978227,20.3278751373291,117.517021179199,1,26405.0
глубина,26405,0.0,3468.1823531402397,3472.30639648438,24.724840238464516,3434.06005859375,3497.43774414063,1,26405.0
температура_на_выходе,26405,0.0,25.205833580719208,32.4590682983398,10.175972892082811,11.0,34.5859794616699,1,26405.0
уровень_в_емкости,26405,0.0,1.523442723391702,1.5129177570343,0.12999383188945882,0.839807093143463,1.95797634124756,1,26405.0
