Параметр,Всего точек,Сегментов,Аномалий,Процент
глубина,26405,1,61,0.23101685286877485
скорость_бурения,26405,520,341,1.291422079151676
вес_на_крюке,26405,1,27,0.10225336110585116
момент_ротора,26405,246,3724,14.103389509562584
обороты_ротора,26405,189,6288,23.813671653096005
давление_на_входе,26405,13,368,1.3936754402575269
расход_на_входе,26405,28,1176,4.453701950388185
температура_на_выходе,26405,1,17,0.06438174588146184
уровень_в_емкости,26405,1,32,0.12118916871804583
скорость_спо,26405,315,116,0.43931073660291614
нагрузка,26405,122,3741,14.167771255444045
дмк,26405,81,3281,12.425676955122137
