Параметр,Всего точек,Сегментов,Аномалий,Процент
глубина,26405,1,0,0.0
скорость_бурения,26405,520,312,1.1815943950009467
вес_на_крюке,26405,1,0,0.0
момент_ротора,26405,246,109,0.41280060594584356
обороты_ротора,26405,189,189,0.7157735277409581
давление_на_входе,26405,13,202,0.7650066275326644
расход_на_входе,26405,28,28,0.1060405226282901
температура_на_выходе,26405,1,0,0.0
уровень_в_емкости,26405,1,0,0.0
скорость_спо,26405,315,88,0.33327021397462603
нагрузка,26405,122,102,0.3862904752887711
дмк,26405,81,63,0.23859117591365273
