Параметр,Всего точек,Сегментов,Аномалий,Процент
глубина,26405,1,0,0.0
скорость_бурения,26405,520,0,0.0
вес_на_крюке,26405,1,3,0.011361484567316796
момент_ротора,26405,246,184,0.6968377201287634
обороты_ротора,26405,189,366,1.3861011172126492
давление_на_входе,26405,13,13,0.04923309979170612
расход_на_входе,26405,28,59,0.223442529823897
температура_на_выходе,26405,1,0,0.0
уровень_в_емкости,26405,1,0,0.0
скорость_спо,26405,315,88,0.33327021397462603
нагрузка,26405,122,145,0.5491384207536452
дмк,26405,81,136,0.5150539670516947
