Параметр,Метод,Тип,Всего точек,Сегментов,Аномалий переходов,Аномалий в сегментах,Всего аномалий,Процент аномалий
глубина,z_score,тип_A,26405,1,0,1,1,0.00%
глубина,lof,тип_A,26405,1,0,0,0,0.00%
глубина,fft,тип_A,26405,1,0,0,0,0.00%
глубина,ammad,тип_A,26405,1,0,61,61,0.23%
скорость_бурения,z_score,тип_B,26405,520,0,102,102,0.39%
скорость_бурения,lof,тип_B,26405,520,0,0,0,0.00%
скорость_бурения,fft,тип_B,26405,520,0,312,312,1.18%
скорость_бурения,ammad,тип_B,26405,520,0,341,341,1.29%
вес_на_крюке,z_score,тип_A,26405,1,0,2,2,0.01%
вес_на_крюке,lof,тип_A,26405,1,0,3,3,0.01%
вес_на_крюке,fft,тип_A,26405,1,0,0,0,0.00%
вес_на_крюке,ammad,тип_A,26405,1,0,27,27,0.10%
момент_ротора,z_score,тип_B,26405,246,109,453,562,2.13%
момент_ротора,lof,тип_B,26405,246,109,75,184,0.70%
момент_ротора,fft,тип_B,26405,246,109,0,109,0.41%
момент_ротора,ammad,тип_B,26405,246,109,3615,3724,14.10%
обороты_ротора,z_score,тип_B,26405,189,189,563,752,2.85%
обороты_ротора,lof,тип_B,26405,189,189,177,366,1.39%
обороты_ротора,fft,тип_B,26405,189,189,0,189,0.72%
обороты_ротора,ammad,тип_B,26405,189,189,6099,6288,23.81%
давление_на_входе,z_score,тип_C,26405,13,12,17,29,0.11%
давление_на_входе,lof,тип_C,26405,13,12,1,13,0.05%
давление_на_входе,fft,тип_C,26405,13,12,190,202,0.77%
давление_на_входе,ammad,тип_C,26405,13,12,356,368,1.39%
расход_на_входе,z_score,тип_C,26405,28,28,65,93,0.35%
расход_на_входе,lof,тип_C,26405,28,28,31,59,0.22%
расход_на_входе,fft,тип_C,26405,28,28,0,28,0.11%
расход_на_входе,ammad,тип_C,26405,28,28,1148,1176,4.45%
температура_на_выходе,z_score,тип_A,26405,1,0,2,2,0.01%
температура_на_выходе,lof,тип_A,26405,1,0,0,0,0.00%
температура_на_выходе,fft,тип_A,26405,1,0,0,0,0.00%
температура_на_выходе,ammad,тип_A,26405,1,0,17,17,0.06%
уровень_в_емкости,z_score,тип_A,26405,1,0,1,1,0.00%
уровень_в_емкости,lof,тип_A,26405,1,0,0,0,0.00%
уровень_в_емкости,fft,тип_A,26405,1,0,0,0,0.00%
уровень_в_емкости,ammad,тип_A,26405,1,0,32,32,0.12%
скорость_спо,z_score,тип_B,26405,315,88,72,160,0.61%
скорость_спо,lof,тип_B,26405,315,88,0,88,0.33%
скорость_спо,fft,тип_B,26405,315,88,0,88,0.33%
скорость_спо,ammad,тип_B,26405,315,88,28,116,0.44%
нагрузка,z_score,тип_B,26405,122,89,803,892,3.38%
нагрузка,lof,тип_B,26405,122,89,56,145,0.55%
нагрузка,fft,тип_B,26405,122,89,13,102,0.39%
нагрузка,ammad,тип_B,26405,122,89,3652,3741,14.17%
дмк,z_score,тип_B,26405,81,63,336,399,1.51%
дмк,lof,тип_B,26405,81,63,73,136,0.52%
дмк,fft,тип_B,26405,81,63,0,63,0.24%
дмк,ammad,тип_B,26405,81,63,3218,3281,12.43%
