Параметр,Всего точек,Сегментов,Аномалий,Процент
глубина,26405,1,1,0.0037871615224389322
скорость_бурения,26405,520,102,0.3862904752887711
вес_на_крюке,26405,1,2,0.0075743230448778644
момент_ротора,26405,246,562,2.1283847756106797
обороты_ротора,26405,189,752,2.8479454648740767
давление_на_входе,26405,13,29,0.10982768415072904
расход_на_входе,26405,28,93,0.3522060215868207
температура_на_выходе,26405,1,2,0.0075743230448778644
уровень_в_емкости,26405,1,1,0.0037871615224389322
скорость_спо,26405,315,160,0.6059458435902291
нагрузка,26405,122,892,3.3781480780155277
дмк,26405,81,399,1.5110774474531339
